MeanReturn, Timesteps, Time, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Exploration
-20.6, 10000, 13/06/2019 23:23:49, 0.66332495807108, -19.0, -21.0, 3718.0, 544.8746644871644, 0.991
-20.523809523809526, 20000, 13/06/2019 23:24:18, 0.5870870479018072, -19.0, -21.0, 3764.6666666666665, 417.2018277517071, 0.982
-20.5, 30000, 13/06/2019 23:24:48, 0.6123724356957945, -19.0, -21.0, 3723.40625, 396.93787764704126, 0.973
-20.46511627906977, 40000, 13/06/2019 23:25:18, 0.6231516747429889, -19.0, -21.0, 3699.6744186046512, 362.7550086798753, 0.964
-20.537037037037038, 50000, 13/06/2019 23:25:47, 0.599782768174135, -19.0, -21.0, 3647.9074074074074, 361.70948382074675, 0.955
-20.50769230769231, 60000, 13/06/2019 23:46:45, 0.6107517920393604, -19.0, -21.0, 3650.276923076923, 352.6943112098114, 0.946
-20.545454545454547, 70000, 14/06/2019 00:15:23, 0.6146576398025575, -19.0, -21.0, 3633.3376623376626, 364.34818549000624, 0.9369999999999999
-20.556818181818183, 80000, 14/06/2019 00:37:09, 0.6189792650634691, -19.0, -21.0, 3626.625, 367.3807881012684, 0.9279999999999999
-20.545454545454547, 90000, 14/06/2019 01:02:41, 0.6075738683564672, -19.0, -21.0, 3627.040404040404, 364.346985221836, 0.919
-20.51, 100000, 14/06/2019 01:30:43, 0.6556675987114202, -18.0, -21.0, 3633.3, 353.2967732657631, 0.91
-20.5, 110000, 14/06/2019 01:54:43, 0.7, -18.0, -21.0, 3620.98, 396.3051849269701, 0.901
-20.49, 120000, 14/06/2019 02:23:44, 0.7415524256584964, -18.0, -21.0, 3626.48, 413.7486309342908, 0.892
-20.5, 130000, 14/06/2019 02:47:33, 0.7416198487095663, -18.0, -21.0, 3616.53, 416.4011156325112, 0.883
-20.53, 140000, 14/06/2019 03:11:16, 0.7273926037567333, -18.0, -21.0, 3612.79, 416.4173698346408, 0.874
-20.55, 150000, 14/06/2019 03:35:11, 0.7262919523166975, -18.0, -21.0, 3615.94, 411.54984679865936, 0.865
-20.5, 160000, 14/06/2019 03:58:25, 0.7549834435270749, -18.0, -21.0, 3609.15, 400.59484207862687, 0.856
-20.46, 170000, 14/06/2019 04:22:18, 0.7539230729988305, -18.0, -21.0, 3628.75, 401.72825081141605, 0.847
-20.43, 180000, 14/06/2019 04:44:03, 0.8031811750782011, -18.0, -21.0, 3656.4, 414.0967036816401, 0.838
-20.42, 190000, 14/06/2019 05:14:22, 0.8388086790204307, -17.0, -21.0, 3659.13, 406.3227449946656, 0.829
-20.36, 200000, 14/06/2019 05:49:13, 1.044222198576529, -14.0, -21.0, 3686.76, 419.9816215026558, 0.82
-20.4, 210000, 14/06/2019 06:23:51, 1.0099504938362076, -14.0, -21.0, 3666.55, 406.62302873792083, 0.8109999999999999
-20.33, 220000, 14/06/2019 06:58:49, 1.0300970828033638, -14.0, -21.0, 3709.62, 420.15820306165625, 0.802
-20.26, 230000, 14/06/2019 07:33:18, 1.0355674772799695, -14.0, -21.0, 3736.14, 418.3601802275163, 0.7929999999999999
-20.24, 240000, 14/06/2019 08:04:09, 1.03072789813801, -14.0, -21.0, 3738.41, 423.92072596182413, 0.784
-20.26, 250000, 14/06/2019 08:29:18, 1.016070863670443, -14.0, -21.0, 3747.15, 422.5176298096921, 0.775
-20.26, 260000, 14/06/2019 09:19:05, 1.016070863670443, -14.0, -21.0, 3774.97, 429.5068673490565, 0.766
-20.25, 270000, 14/06/2019 10:11:47, 1.061838029079765, -14.0, -21.0, 3788.5, 452.76284078974504, 0.757
-20.24, 280000, 14/06/2019 10:55:53, 1.0209799214480175, -14.0, -21.0, 3790.52, 454.86045068790054, 0.748
-20.26, 290000, 14/06/2019 11:20:25, 1.0061808982484213, -14.0, -21.0, 3779.42, 456.1350935852228, 0.739
-20.2, 300000, 14/06/2019 11:45:15, 0.8831760866327848, -17.0, -21.0, 3815.16, 423.037438532336, 0.73
-20.16, 310000, 14/06/2019 12:10:22, 0.913454979733539, -17.0, -21.0, 3838.38, 412.23543709875304, 0.721
-20.22, 320000, 14/06/2019 12:35:26, 0.9228217596047461, -17.0, -21.0, 3831.44, 420.8150976379055, 0.712
-20.2, 330000, 14/06/2019 12:59:25, 0.9591663046625439, -17.0, -21.0, 3844.14, 422.59150535712376, 0.703
-20.14, 340000, 14/06/2019 13:23:19, 0.9593747964169165, -17.0, -21.0, 3875.21, 423.6759680463361, 0.694
-20.13, 350000, 14/06/2019 13:47:22, 0.9450396817065408, -17.0, -21.0, 3897.46, 417.9026781440865, 0.685
-20.07, 360000, 14/06/2019 14:11:28, 0.9618211892030659, -17.0, -21.0, 3919.5, 403.1473055844476, 0.6759999999999999
-20.08, 370000, 14/06/2019 14:40:23, 0.9453041838477177, -17.0, -21.0, 3938.24, 414.70510293460336, 0.667
-20.02, 380000, 14/06/2019 14:57:25, 0.999799979995999, -17.0, -21.0, 3978.85, 431.590902939346, 0.6579999999999999
-20.01, 390000, 14/06/2019 15:13:03, 1.0246462804304712, -17.0, -21.0, 4017.56, 436.63317143799327, 0.649
-20.03, 400000, 14/06/2019 15:26:15, 1.0045396955820112, -17.0, -21.0, 4009.93, 481.8142226003711, 0.6399999999999999
-20.02, 410000, 14/06/2019 15:39:34, 1.0293687385966217, -17.0, -21.0, 4026.18, 477.07813573879076, 0.631
-20.02, 420000, 14/06/2019 15:53:14, 1.0293687385966217, -17.0, -21.0, 4047.8, 471.8522226290769, 0.622
-19.92, 430000, 14/06/2019 16:06:50, 1.1106754701531856, -17.0, -21.0, 4103.77, 502.84896052393304, 0.613
-19.87, 440000, 14/06/2019 16:24:06, 1.1545994976614182, -17.0, -21.0, 4164.4, 554.6368361369447, 0.604
-19.85, 450000, 14/06/2019 16:42:59, 1.1863810517704672, -17.0, -21.0, 4165.32, 571.3483854882238, 0.595
-19.82, 460000, 14/06/2019 17:01:37, 1.1864231959971114, -17.0, -21.0, 4220.43, 604.819531017311, 0.586
-19.78, 470000, 14/06/2019 17:17:19, 1.1964948808916815, -17.0, -21.0, 4254.02, 630.6789512897984, 0.577
-19.78, 480000, 14/06/2019 18:16:22, 1.1881077392223316, -17.0, -21.0, 4260.55, 628.6970872367709, 0.5680000000000001
-19.66, 490000, 14/06/2019 19:17:43, 1.2901162738296112, -16.0, -21.0, 4341.26, 695.5810178548578, 0.5589999999999999
-19.62, 500000, 14/06/2019 20:03:48, 1.2867012085173464, -16.0, -21.0, 4394.44, 710.640532477567, 0.55
-19.51, 510000, 14/06/2019 20:37:00, 1.3228378585450298, -16.0, -21.0, 4492.82, 714.7638964021617, 0.5409999999999999
-19.51, 520000, 14/06/2019 20:52:45, 1.3228378585450298, -16.0, -21.0, 4540.66, 726.1134790099961, 0.532
-19.46, 530000, 14/06/2019 21:09:11, 1.329812016790343, -16.0, -21.0, 4605.77, 733.0745508473201, 0.5229999999999999
-19.43, 540000, 14/06/2019 21:26:01, 1.3134306224540373, -16.0, -21.0, 4681.5, 747.4592229680493, 0.514
-19.36, 550000, 14/06/2019 21:42:51, 1.3380582946942186, -16.0, -21.0, 4767.91, 800.0221883797974, 0.5049999999999999
-19.24, 560000, 14/06/2019 21:59:09, 1.4150618361046983, -16.0, -21.0, 4870.72, 827.3817991713379, 0.4959999999999999
-19.15, 570000, 14/06/2019 22:15:50, 1.444818327679989, -16.0, -21.0, 5003.91, 826.5172121014783, 0.487
-18.98, 580000, 14/06/2019 22:32:27, 1.5619218930535548, -14.0, -21.0, 5136.0, 881.0924355594026, 0.478
-18.88, 590000, 14/06/2019 22:49:18, 1.6079800993793427, -14.0, -21.0, 5233.08, 922.2958492804789, 0.469
-18.75, 600000, 14/06/2019 23:06:02, 1.6332482971061075, -14.0, -21.0, 5357.25, 933.1747572132456, 0.45999999999999996
-18.72, 610000, 14/06/2019 23:23:14, 1.6436544649043483, -14.0, -21.0, 5489.17, 962.4278991695949, 0.45099999999999996
-18.56, 620000, 15/06/2019 00:08:02, 1.82931681236466, -11.0, -21.0, 5654.7, 1099.3453733927295, 0.44199999999999995
-18.49, 630000, 15/06/2019 00:55:21, 1.830273203650209, -11.0, -21.0, 5758.12, 1095.596105140941, 0.43299999999999994
