Time, Timesteps, BestMeanReturn, MeanReturn, StdReturn, MaxReturn, MinReturn, Exploration, EpLenMean, EpLenStd
01/06/2019 23:23:01, 10000, -inf, -20.1, 1.0440306508910548, -18.0, -21.0, 0.991, 3831.1, 430.7566482365652
01/06/2019 23:23:26, 20000, -inf, -20.238095238095237, 1.1086139739831253, -18.0, -21.0, 0.982, 3760.5238095238096, 527.5080337052534
01/06/2019 23:23:57, 30000, -inf, -20.40625, 0.9636964965693297, -18.0, -21.0, 0.973, 3694.4375, 486.34092578534865
01/06/2019 23:24:23, 40000, -inf, -20.285714285714285, 1.0301575072754254, -17.0, -21.0, 0.964, 3760.809523809524, 560.0169741515596
01/06/2019 23:24:48, 50000, -inf, -20.20754716981132, 1.0703286493345536, -17.0, -21.0, 0.955, 3778.698113207547, 542.5815506014224
01/06/2019 23:26:39, 60000, -inf, -20.21875, 1.082080605823799, -17.0, -21.0, 0.946, 3765.703125, 551.8618112718385
01/06/2019 23:28:26, 70000, -inf, -20.2027027027027, 1.0651700756183002, -17.0, -21.0, 0.9369999999999999, 3757.4189189189187, 536.1354711505836
01/06/2019 23:30:11, 80000, -inf, -20.223529411764705, 1.0446104884904994, -17.0, -21.0, 0.9279999999999999, 3743.705882352941, 527.7885009453161
01/06/2019 23:31:56, 90000, -inf, -20.208333333333332, 1.0095034532988096, -17.0, -21.0, 0.919, 3741.0, 501.99199030794637
01/06/2019 23:33:41, 100000, -20.26, -20.26, 0.9551963149007643, -17.0, -21.0, 0.91, 3712.18, 492.7891512604554
01/06/2019 23:35:27, 110000, -20.26, -20.28, 0.9064215354899728, -17.0, -21.0, 0.901, 3696.69, 466.5732245853806
01/06/2019 23:37:17, 120000, -20.22, -20.22, 0.9119210492142398, -17.0, -21.0, 0.892, 3715.2, 476.09721696309043
01/06/2019 23:39:03, 130000, -20.22, -20.27, 0.8585452812752511, -17.0, -21.0, 0.883, 3699.64, 446.58606158275916
01/06/2019 23:40:50, 140000, -20.22, -20.26, 0.9123595782365634, -17.0, -21.0, 0.874, 3712.98, 459.3570720039042
01/06/2019 23:42:36, 150000, -20.22, -20.24, 0.9068627239003707, -17.0, -21.0, 0.865, 3728.35, 451.00940954707363
01/06/2019 23:44:23, 160000, -20.22, -20.28, 0.8611620056644393, -17.0, -21.0, 0.856, 3707.22, 437.80113247912
01/06/2019 23:46:12, 170000, -20.22, -20.31, 0.8910106621135351, -17.0, -21.0, 0.847, 3706.73, 458.443799281875
01/06/2019 23:48:03, 180000, -20.22, -20.3, 0.8888194417315589, -17.0, -21.0, 0.838, 3719.89, 466.5572396823352
01/06/2019 23:49:53, 190000, -20.22, -20.32, 0.8930845424706443, -17.0, -21.0, 0.829, 3731.0, 461.70068226070447
01/06/2019 23:51:41, 200000, -20.22, -20.29, 0.8865100112237876, -17.0, -21.0, 0.82, 3757.76, 450.9725073660256
01/06/2019 23:53:32, 210000, -20.22, -20.3, 0.8774964387392121, -17.0, -21.0, 0.8109999999999999, 3767.33, 430.0177218441119
01/06/2019 23:55:20, 220000, -20.22, -20.32, 0.8704022058795577, -17.0, -21.0, 0.802, 3736.81, 410.5291145582734
01/06/2019 23:57:09, 230000, -20.22, -20.32, 0.8231646250902671, -17.0, -21.0, 0.7929999999999999, 3738.83, 398.1234746909557
01/06/2019 23:58:56, 240000, -20.22, -20.33, 0.7490660852021, -17.0, -21.0, 0.784, 3728.63, 410.87286732029406
02/06/2019 00:00:45, 250000, -20.22, -20.34, 0.7102112361825882, -17.0, -21.0, 0.775, 3739.88, 411.25379706453776
02/06/2019 00:02:35, 260000, -20.22, -20.34, 0.6359245238233858, -19.0, -21.0, 0.766, 3740.52, 387.79408144013746
02/06/2019 00:04:23, 270000, -20.22, -20.29, 0.6677574409918619, -18.0, -21.0, 0.757, 3756.11, 385.6175798637816
02/06/2019 00:06:13, 280000, -20.22, -20.29, 0.6825686778632608, -18.0, -21.0, 0.748, 3753.84, 411.5239900661928
02/06/2019 00:08:03, 290000, -20.2, -20.2, 0.7211102550927979, -18.0, -21.0, 0.739, 3793.8, 412.0726634951656
02/06/2019 00:09:54, 300000, -20.19, -20.19, 0.7706490770772387, -18.0, -21.0, 0.73, 3810.75, 436.10928389567675
02/06/2019 00:11:46, 310000, -20.15, -20.15, 0.7794228634059948, -18.0, -21.0, 0.721, 3848.75, 446.92971203534904
02/06/2019 00:13:37, 320000, -20.1, -20.1, 0.842614977317636, -18.0, -21.0, 0.712, 3893.15, 463.82788564293975
02/06/2019 00:15:32, 330000, -20.05, -20.05, 0.8874119674649424, -18.0, -21.0, 0.703, 3916.29, 461.3053282805218
02/06/2019 00:17:23, 340000, -20.04, -20.04, 0.8935323161475469, -18.0, -21.0, 0.694, 3925.78, 445.61035849719656
02/06/2019 00:19:14, 350000, -19.99, -19.99, 0.8999444427296609, -18.0, -21.0, 0.685, 3961.52, 443.9535894662865
02/06/2019 00:21:05, 360000, -19.94, -19.94, 0.94678403028357, -18.0, -21.0, 0.6759999999999999, 3980.58, 451.3980323395307
02/06/2019 00:22:57, 370000, -19.91, -19.91, 0.9807650075323855, -18.0, -21.0, 0.667, 4028.68, 464.80731233490724
02/06/2019 00:24:48, 380000, -19.82, -19.82, 1.0712609392673662, -17.0, -21.0, 0.6579999999999999, 4069.22, 458.8198029728011
02/06/2019 00:26:40, 390000, -19.82, -19.86, 1.0864621484432855, -17.0, -21.0, 0.649, 4087.22, 503.89603253052115
02/06/2019 00:28:33, 400000, -19.81, -19.81, 1.1549458861782225, -16.0, -21.0, 0.6399999999999999, 4118.7, 539.4283733731477
02/06/2019 00:30:26, 410000, -19.78, -19.78, 1.1539497389401323, -16.0, -21.0, 0.631, 4125.57, 549.8099899965442
02/06/2019 00:32:19, 420000, -19.78, -19.78, 1.1539497389401323, -16.0, -21.0, 0.622, 4160.5, 577.8253801971665
02/06/2019 00:34:11, 430000, -19.76, -19.76, 1.16721891691319, -16.0, -21.0, 0.613, 4190.54, 601.4470287564816
02/06/2019 00:36:05, 440000, -19.66, -19.66, 1.1680753400359072, -16.0, -21.0, 0.604, 4250.49, 609.4707129140825
02/06/2019 00:37:59, 450000, -19.55, -19.55, 1.2031209415515964, -16.0, -21.0, 0.595, 4341.71, 623.9201598762457
02/06/2019 00:39:52, 460000, -19.54, -19.54, 1.1951568934662928, -16.0, -21.0, 0.586, 4370.85, 634.4146179747121
02/06/2019 00:41:46, 470000, -19.49, -19.49, 1.2123943252918994, -16.0, -21.0, 0.577, 4434.04, 640.2627573114025
02/06/2019 00:43:40, 480000, -19.43, -19.43, 1.210413152605341, -16.0, -21.0, 0.5680000000000001, 4479.2, 684.8160336908007
02/06/2019 00:45:35, 490000, -19.43, -19.44, 1.1943198901466894, -16.0, -21.0, 0.5589999999999999, 4484.08, 696.4804761082682
02/06/2019 00:47:30, 500000, -19.34, -19.34, 1.1934822998268553, -16.0, -21.0, 0.55, 4520.73, 668.9438818764994
02/06/2019 00:49:32, 510000, -19.24, -19.24, 1.2419339757008019, -16.0, -21.0, 0.5409999999999999, 4587.14, 675.6384095061499
02/06/2019 00:51:28, 520000, -19.24, -19.26, 1.2297967311714568, -16.0, -21.0, 0.532, 4644.52, 652.548151173536
02/06/2019 00:53:24, 530000, -19.16, -19.16, 1.3395521639712282, -15.0, -21.0, 0.5229999999999999, 4675.04, 677.1281255419834
02/06/2019 00:55:19, 540000, -19.02, -19.02, 1.378259772321604, -15.0, -21.0, 0.514, 4754.32, 676.3940993237596
02/06/2019 00:57:15, 550000, -18.97, -18.97, 1.5063532122314476, -14.0, -21.0, 0.5049999999999999, 4819.38, 760.2777226777067
02/06/2019 00:59:12, 560000, -18.95, -18.95, 1.5321553446044562, -14.0, -21.0, 0.4959999999999999, 4876.65, 782.311579551268
02/06/2019 01:01:08, 570000, -18.85, -18.85, 1.7514279888136997, -11.0, -21.0, 0.487, 4946.28, 850.2029061347649
02/06/2019 01:03:05, 580000, -18.76, -18.76, 1.7783138080777532, -11.0, -21.0, 0.478, 5055.94, 903.4391271137198
02/06/2019 01:05:02, 590000, -18.66, -18.66, 1.8826576959181933, -11.0, -21.0, 0.469, 5153.66, 938.047218640938
02/06/2019 01:06:59, 600000, -18.57, -18.57, 1.9862275801126112, -11.0, -21.0, 0.45999999999999996, 5231.66, 993.9611382745303
02/06/2019 01:08:57, 610000, -18.48, -18.48, 2.041959842896035, -11.0, -21.0, 0.45099999999999996, 5328.68, 981.9160848056213
02/06/2019 01:10:54, 620000, -18.39, -18.39, 2.087558382417124, -11.0, -21.0, 0.44199999999999995, 5418.4, 996.0485128747496
02/06/2019 01:12:51, 630000, -18.22, -18.22, 2.133447913589643, -11.0, -21.0, 0.43299999999999994, 5566.68, 1022.8918015117728
02/06/2019 01:14:50, 640000, -18.1, -18.1, 2.2561028345356955, -11.0, -21.0, 0.42399999999999993, 5689.06, 1075.5153352695627
02/06/2019 01:16:47, 650000, -17.98, -17.98, 2.284644392460236, -11.0, -21.0, 0.4149999999999999, 5822.03, 1062.3799080837327
02/06/2019 01:18:45, 660000, -17.85, -17.85, 2.281994741448805, -11.0, -21.0, 0.4059999999999999, 5930.1, 1055.7169459661052
02/06/2019 01:20:45, 670000, -17.72, -17.72, 2.23194982022446, -11.0, -21.0, 0.3969999999999999, 6032.47, 1051.4214421914746
02/06/2019 01:22:43, 680000, -17.57, -17.57, 2.2682812876713503, -11.0, -21.0, 0.3879999999999999, 6197.81, 1036.3832080364868
02/06/2019 01:24:43, 690000, -17.51, -17.51, 2.2956262762043824, -11.0, -21.0, 0.379, 6303.49, 1057.806839597854
02/06/2019 01:26:43, 700000, -17.36, -17.36, 2.3087659041141437, -11.0, -21.0, 0.37, 6400.2, 1026.4551816811097
02/06/2019 01:28:42, 710000, -17.21, -17.21, 2.3034539283432607, -11.0, -21.0, 0.361, 6476.71, 1014.0472306061489
02/06/2019 01:30:42, 720000, -17.13, -17.13, 2.3266069715360174, -11.0, -21.0, 0.352, 6602.52, 999.7177349632244
02/06/2019 01:32:42, 730000, -17.0, -17.0, 2.349468024894146, -11.0, -21.0, 0.34299999999999997, 6716.65, 1003.6602350895447
02/06/2019 01:34:42, 740000, -16.84, -16.84, 2.3567774608562426, -11.0, -21.0, 0.33399999999999996, 6841.25, 1053.397108169564
02/06/2019 01:36:43, 750000, -16.61, -16.61, 2.5957465207527486, -5.0, -21.0, 0.32499999999999996, 6972.02, 1097.6660965885756
02/06/2019 01:38:43, 760000, -16.5, -16.5, 2.6172504656604803, -5.0, -21.0, 0.31599999999999995, 7056.41, 1130.5782953426976
02/06/2019 01:40:46, 770000, -16.25, -16.25, 2.669737814842499, -5.0, -21.0, 0.30699999999999994, 7151.71, 1147.5417839451425
02/06/2019 01:42:47, 780000, -16.01, -16.01, 2.8652923062054247, -5.0, -21.0, 0.29799999999999993, 7285.32, 1227.4908380920813
02/06/2019 01:44:48, 790000, -15.91, -15.91, 2.8358243951274558, -5.0, -21.0, 0.2889999999999999, 7377.66, 1187.5729638215919
02/06/2019 01:46:50, 800000, -15.58, -15.58, 3.105414626100676, -5.0, -21.0, 0.2799999999999999, 7551.5, 1246.1442974230554
02/06/2019 01:48:52, 810000, -15.45, -15.45, 3.1284980421921316, -5.0, -20.0, 0.2709999999999999, 7646.42, 1230.8042425991225
02/06/2019 01:50:55, 820000, -15.26, -15.26, 3.2299225996918253, -5.0, -20.0, 0.262, 7717.6, 1265.430077088418
02/06/2019 01:52:58, 830000, -14.97, -14.97, 3.386605970584709, -5.0, -20.0, 0.253, 7848.99, 1324.0748883276958
02/06/2019 01:55:00, 840000, -14.92, -14.92, 3.387270287414336, -5.0, -20.0, 0.244, 7893.25, 1334.5836007908983
02/06/2019 01:57:04, 850000, -14.83, -14.83, 3.408973452522034, -5.0, -20.0, 0.235, 7957.61, 1338.2428994394104
